,Unnamed: 0,restaurant_id,name,address,city,phone,rating,tags
35,35,R036,Texas BBQ,"998 Đường Lê Lợi, P.11, Q.3",Hà Nội,913130437,4.7,"dine-in, family-friendly, fine-dining, chef-special, burgers, affordable"
36,36,R037,Kyoto Garden 90,"497 Đường Cách Mạng Tháng 8, P.15, Q.10",Đà Nẵng,981930074,3.1,"family-friendly, value-for-money, pet-friendly, halal, sashimi, sushi"
37,37,R038,Ichiban Ramen,"944 Đường Nam Kỳ Khởi Nghĩa, P.13, Q.10",Nha Trang,984559742,3.8,"local-favorite, fine-dining, modern, gluten-free, pet-friendly, ramen"
38,38,R039,Mango Tree 36,"210 Đường Cách Mạng Tháng 8, P.20, Q.12",Hồ Chí Minh,918258771,3.7,"family-gathering, all-you-can-eat, catering, curry, papaya-salad"
39,39,R040,Bella Italia,"9 Đường Hai Bà Trưng, P.15, Q.1",Vũng Tàu,999780167,4.6,"catering, vegetarian, parking, family-friendly, desserts, pizza, affordable"
40,40,R041,Athens Restaurant,"959 Đường Pasteur, P.17, Q.4",Huế,930442060,4.1,"award-winning, budget-friendly, live-music, authentic, kebab, falafel, affordable"
41,41,R042,Smokey Ribs,"325 Đường Lý Thường Kiệt, P.18, Q.8",Huế,984137873,4.5,"casual, private-rooms, contemporary, signature-dishes, wifi, burgers, ribs, fine-dining"
42,42,R043,Chiang Mai 76,"482 Đường Hai Bà Trưng, P.18, Q.4",Nha Trang,959726028,4.3,"grilled, premium, family-friendly, papaya-salad, tom-yum, upscale"
43,43,R044,Edo Sushi Bar 2,"40 Đường Võ Văn Tần, P.20, Q.5",Hà Nội,936224515,4.5,"walk-in, air-conditioned, romantic, all-you-can-eat, tempura, sashimi, upscale"
44,44,R045,The Steakhouse,"266 Đường Cách Mạng Tháng 8, P.1, Q.12",Nha Trang,920649521,4.8,"chef-special, luxurious, seafood, live-music, contemporary, steak, pasta, budget-friendly"
45,45,R046,Mì Quảng 1A 81,"819 Đường Hai Bà Trưng, P.17, Q.9",Hải Phòng,954806231,3.9,"minimalist, walk-in, spicy, homestyle, spring-rolls, bun-cha"
46,46,R047,Mì Quảng 1A 9,"7 Đường Võ Văn Tần, P.10, Q.1",Cần Thơ,959462324,3.4,"hidden-gem, takeaway, vintage, family-gathering, spring-rolls, fine-dining"
47,47,R048,American Diner 68,"980 Đường Lê Lợi, P.15, Q.7",Hải Phòng,950237307,4.8,"spicy, wifi, cozy, walk-in, date-night, burgers"
48,48,R049,Ichiban Ramen 46,"386 Đường Cách Mạng Tháng 8, P.11, Q.9",Đà Nẵng,936235510,3.3,"wifi, hidden-gem, gluten-free, tempura, sake, cheap-eats"
49,49,R050,Bún Chả Hương Liên,"961 Đường Võ Văn Tần, P.3, Q.5",Hồ Chí Minh,970522889,3.8,"pet-friendly, late-night, affordable, fine-dining, bun-cha, upscale"
50,50,R051,Thai Smile 70,"795 Đường Lý Thường Kiệt, P.16, Q.7",Nha Trang,966407993,4.8,"value-for-money, modern, spicy, catering, family-gathering, pad-thai"
51,51,R052,Pasta Fresca,"320 Đường Hai Bà Trưng, P.11, Q.8",Đà Nẵng,990147670,3.8,"vintage, premium, private-rooms, homestyle, desserts"
52,52,R053,Turkish Delight,"397 Đường Nguyễn Huệ, P.7, Q.12",Cần Thơ,917515361,4.3,"waterfront, premium, business-lunch, fine-dining, falafel, cheap-eats"
53,53,R054,Tokyo Kitchen 30,"309 Đường Võ Văn Tần, P.12, Q.11",Đà Lạt,933312825,3.7,"date-night, kids-menu, budget-friendly, gourmet, luxurious, ramen"
54,54,R055,Chiang Mai 47,"203 Đường Lý Thường Kiệt, P.3, Q.6",Vũng Tàu,911560563,3.3,"family-friendly, pet-friendly, late-night, grilled, fine-dining, pad-thai"
55,55,R056,Cơm Tấm Sài Gòn 78,"788 Đường Hai Bà Trưng, P.1, Q.2",Huế,973311459,3.2,"organic, luxurious, quick-bite, signature-dishes, wifi, bun-cha"
56,56,R057,Phở Hà Nội,"468 Đường Nam Kỳ Khởi Nghĩa, P.9, Q.3",Đà Lạt,963913581,4.0,"weekend-special, affordable, minimalist, kids-menu, coffee, pho, upscale"
57,57,R058,Ming Dynasty 50,"884 Đường Hai Bà Trưng, P.3, Q.8",Nha Trang,981796441,4.5,"authentic, brunch, must-try, catering, peking-duck, affordable"
58,58,R059,Turkish Delight 93,"541 Đường Cách Mạng Tháng 8, P.18, Q.10",Cần Thơ,918579369,3.9,"halal, walk-in, premium, vintage, falafel, fine-dining"
59,59,R060,Peking Duck House,"59 Đường Nguyễn Huệ, P.20, Q.2",Đà Nẵng,970761551,3.6,"delivery, minimalist, bbq, kids-menu, award-winning, dumplings"
60,60,R061,Siam Garden 50,"782 Đường Cách Mạng Tháng 8, P.13, Q.5",Cần Thơ,938641263,4.6,"hidden-gem, halal, business-lunch, mango-sticky-rice, curry, budget-friendly"
61,61,R062,Tom Yum Kitchen,"109 Đường Phan Đình Phùng, P.7, Q.2",Huế,975392200,4.3,"street-food, modern, value-for-money, date-night, tom-yum, pad-thai, fine-dining"
62,62,R063,Jjigae Story,"455 Đường Lý Thường Kiệt, P.17, Q.12",Hồ Chí Minh,912047532,3.8,"parking, authentic, halal, vintage, hotpot, korean-bbq, upscale"
63,63,R064,Curry House 38,"333 Đường Lê Lợi, P.14, Q.9",Đà Nẵng,946465461,3.4,"vintage, chef-special, budget-friendly, biryani, curry"
64,64,R065,Spice Route,"829 Đường Trần Hưng Đạo, P.13, Q.6",Vũng Tàu,988413776,3.2,"family-gathering, parking, hidden-gem, value-for-money, cozy, biryani, premium"
65,65,R066,Chiang Mai 33,"543 Đường Phan Đình Phùng, P.14, Q.11",Đà Lạt,998824808,4.5,"signature-dishes, value-for-money, late-night, fine-dining, vintage, papaya-salad"
66,66,R067,Tandoori Palace 93,"970 Đường Nguyễn Huệ, P.4, Q.12",Đà Nẵng,923655615,4.1,"bbq, wifi, all-you-can-eat, minimalist, catering, naan, curry"
67,67,R068,Hanok Korean,"760 Đường Hai Bà Trưng, P.3, Q.1",Hải Phòng,967989012,3.2,"fusion, quick-bite, private-rooms, bbq, kimchi"
68,68,R069,Wine & Dine,"300 Đường Nguyễn Huệ, P.9, Q.10",Đà Nẵng,984892480,4.0,"contemporary, fried, business-lunch, reservation-required, wine, upscale"
69,69,R070,Chiang Mai 73,"379 Đường Pasteur, P.17, Q.12",Đà Nẵng,929753208,3.5,"budget-friendly, bar, instagram-worthy, reservation-required, curry"
70,70,R071,European Kitchen,"95 Đường Pasteur, P.7, Q.5",Huế,996175113,5.0,"must-try, fusion, pet-friendly, fried, casual, pasta, pizza, upscale"
71,71,R072,Pasta Fresca 49,"664 Đường Hai Bà Trưng, P.1, Q.3",Vũng Tàu,971019028,3.0,"fried, garden-view, fine-dining, walk-in, affordable, pasta"
72,72,R073,Osaka Izakaya,"149 Đường Trần Hưng Đạo, P.7, Q.6",Huế,960813541,3.8,"celebration, fusion, instagram-worthy, sake, premium"
73,73,R074,Bangkok Street,"733 Đường Cách Mạng Tháng 8, P.5, Q.11",Nha Trang,912023051,4.7,"fine-dining, takeaway, hidden-gem, tom-yum, papaya-salad, upscale"
74,74,R075,Bibimbap House,"327 Đường Cách Mạng Tháng 8, P.5, Q.1",Cần Thơ,923206849,4.4,"authentic, value-for-money, parking, catering, bibimbap, cheap-eats"
75,75,R076,Namaste India,"912 Đường Cách Mạng Tháng 8, P.5, Q.4",Cần Thơ,938555277,3.2,"wifi, outdoor-seating, buffet, instagram-worthy, spicy, biryani, budget-friendly"
76,76,R077,Pad Thai House,"722 Đường Lê Lợi, P.13, Q.7",Vũng Tàu,938870773,3.6,"brunch, live-music, outdoor-seating, mango-sticky-rice, curry, cheap-eats"
77,77,R078,Wonton World,"198 Đường Nguyễn Huệ, P.4, Q.9",Vũng Tàu,992062051,4.9,"grilled, signature-dishes, buffet, air-conditioned, dumplings, noodles"
78,78,R079,Peking Duck House 36,"266 Đường Hai Bà Trưng, P.20, Q.2",Phú Quốc,945103026,5.0,"fine-dining, wifi, celebration, budget-friendly, dumplings"
79,79,R080,Siam Garden 28,"679 Đường Pasteur, P.16, Q.8",Đà Nẵng,999700175,4.3,"air-conditioned, budget-friendly, seafood, chef-special, takeaway, papaya-salad, cheap-eats"
80,80,R081,Wine & Dine 73,"599 Đường Trần Hưng Đạo, P.11, Q.4",Hồ Chí Minh,940829684,3.5,"chef-special, date-night, vegetarian, parking, cozy, wine, cheap-eats"
81,81,R082,Biryani Kingdom,"441 Đường Lý Thường Kiệt, P.14, Q.2",Huế,931465233,3.6,"premium, live-music, cozy, weekend-special, biryani"
82,82,R083,Nhà Hàng Ngọc Sương,"723 Đường Pasteur, P.19, Q.11",Nha Trang,991388570,4.1,"affordable, brunch, vegetarian, waterfront, chef-special, banh-mi"
83,83,R084,Taj Mahal,"967 Đường Hai Bà Trưng, P.7, Q.3",Vũng Tàu,992368948,4.2,"all-you-can-eat, walk-in, premium, grilled, biryani, budget-friendly"
84,84,R085,New York Deli,"559 Đường Nam Kỳ Khởi Nghĩa, P.5, Q.4",Vũng Tàu,965339150,4.1,"air-conditioned, local-favorite, quick-bite, all-you-can-eat, minimalist, milkshakes, steaks"
85,85,R086,Spice Route 37,"939 Đường Trần Hưng Đạo, P.6, Q.10",Hồ Chí Minh,929060258,3.4,"rooftop, reservation-required, budget-friendly, masala, biryani, affordable"
86,86,R087,Mì Quảng 1A 69,"591 Đường Trần Hưng Đạo, P.20, Q.5",Huế,954609567,3.1,"romantic, vegan, wifi, fine-dining, chef-special, banh-mi, coffee"
87,87,R088,Namaste India 72,"526 Đường Hai Bà Trưng, P.19, Q.7",Hà Nội,986860307,3.8,"budget-friendly, halal, wifi, curry, masala, upscale"
88,88,R089,Kimchi House 91,"328 Đường Trần Hưng Đạo, P.1, Q.8",Cần Thơ,976793226,3.4,"halal, minimalist, takeaway, affordable, fusion, hotpot, korean-bbq"
89,89,R090,Ming Dynasty 22,"669 Đường Lý Thường Kiệt, P.14, Q.4",Vũng Tàu,992708147,3.9,"value-for-money, garden-view, family-gathering, vegetarian, dumplings, noodles"
90,90,R091,Edo Sushi Bar 36,"925 Đường Võ Văn Tần, P.5, Q.2",Vũng Tàu,937300795,4.5,"weekend-special, value-for-money, vintage, vegan, sushi, sake"
91,91,R092,Dragon Palace,"338 Đường Võ Văn Tần, P.10, Q.5",Cần Thơ,913558102,3.2,"luxurious, wifi, gluten-free, noodles, dumplings, cheap-eats"
92,92,R093,Biryani Kingdom 85,"865 Đường Võ Văn Tần, P.9, Q.1",Huế,931144133,4.7,"affordable, catering, must-try, tandoori, masala, cheap-eats"
93,93,R094,Cyprus Taverna,"321 Đường Nam Kỳ Khởi Nghĩa, P.7, Q.5",Phú Quốc,975608303,4.9,"fusion, fried, budget-friendly, olive-oil, falafel"
94,94,R095,Tokyo Kitchen 70,"644 Đường Trần Hưng Đạo, P.7, Q.11",Cần Thơ,963993634,4.4,"business-lunch, dine-in, buffet, value-for-money, sushi, ramen"
95,95,R096,Turkish Delight 87,"979 Đường Nam Kỳ Khởi Nghĩa, P.10, Q.8",Vũng Tàu,964621145,3.3,"affordable, all-you-can-eat, late-night, local-favorite, olive-oil, hummus"
96,96,R097,Wine & Dine 20,"496 Đường Trần Hưng Đạo, P.10, Q.8",Hải Phòng,993737850,4.1,"cozy, budget-friendly, kids-menu, business-lunch, wine, steak, cheap-eats"
97,97,R098,Smokey Ribs 2,"133 Đường Nguyễn Huệ, P.12, Q.4",Hà Nội,932357649,3.5,"must-try, street-food, premium, burgers, fries"
98,98,R099,Hanok Korean 57,"286 Đường Cách Mạng Tháng 8, P.18, Q.11",Hà Nội,996531616,3.2,"budget-friendly, cozy, seafood, soju, korean-bbq"
99,99,R100,Chiang Mai 86,"792 Đường Nguyễn Huệ, P.2, Q.10",Nha Trang,938100364,4.5,"seafood, signature-dishes, rooftop, curry, budget-friendly"
