restaurant_id,name,address,city,phone,rating,cuisine,price_range,tags
R037,Kyoto Garden 90,"497 Đường Cách Mạng Tháng 8, P.15, Q.10",Đà Nẵng,0981930074,3.1,Nhật Bản,₫₫₫,"family-friendly, value-for-money, pet-friendly, halal, sashimi, sushi"
R038,Ichiban Ramen,"944 Đường Nam Kỳ Khởi Nghĩa, P.13, Q.10",Nha Trang,0984559742,3.8,Nhật Bản,₫₫₫,"local-favorite, fine-dining, modern, gluten-free, pet-friendly, ramen"
R039,Mango Tree 36,"210 Đường Cách Mạng Tháng 8, P.20, Q.12",Hồ Chí Minh,0918258771,3.7,Thái,₫₫,"family-gathering, all-you-can-eat, catering, curry, papaya-salad"
R040,Bella Italia,"9 Đường Hai Bà Trưng, P.15, Q.1",Vũng Tàu,0999780167,4.6,Âu,₫,"catering, vegetarian, parking, family-friendly, desserts, pizza, affordable"
R041,Athens Restaurant,"959 Đường Pasteur, P.17, Q.4",Huế,0930442060,4.1,Địa Trung Hải,₫,"award-winning, budget-friendly, live-music, authentic, kebab, falafel, affordable"
R042,Smokey Ribs,"325 Đường Lý Thường Kiệt, P.18, Q.8",Huế,0984137873,4.5,Mỹ,₫₫₫,"casual, private-rooms, contemporary, signature-dishes, wifi, burgers, ribs, fine-dining"
R043,Chiang Mai 76,"482 Đường Hai Bà Trưng, P.18, Q.4",Nha Trang,0959726028,4.3,Thái,₫₫₫,"grilled, premium, family-friendly, papaya-salad, tom-yum, upscale"
R044,Edo Sushi Bar 2,"40 Đường Võ Văn Tần, P.20, Q.5",Hà Nội,0936224515,4.5,Nhật Bản,₫₫₫,"walk-in, air-conditioned, romantic, all-you-can-eat, tempura, sashimi, upscale"
R045,The Steakhouse,"266 Đường Cách Mạng Tháng 8, P.1, Q.12",Nha Trang,0920649521,4.8,Âu,₫,"chef-special, luxurious, seafood, live-music, contemporary, steak, pasta, budget-friendly"
R046,Mì Quảng 1A 81,"819 Đường Hai Bà Trưng, P.17, Q.9",Hải Phòng,0954806231,3.9,Việt Nam,₫,"minimalist, walk-in, spicy, homestyle, spring-rolls, bun-cha"
R047,Mì Quảng 1A 9,"7 Đường Võ Văn Tần, P.10, Q.1",Cần Thơ,0959462324,3.4,Việt Nam,₫₫₫,"hidden-gem, takeaway, vintage, family-gathering, spring-rolls, fine-dining"
R048,American Diner 68,"980 Đường Lê Lợi, P.15, Q.7",Hải Phòng,0950237307,4.8,Mỹ,₫,"spicy, wifi, cozy, walk-in, date-night, burgers"
R049,Ichiban Ramen 46,"386 Đường Cách Mạng Tháng 8, P.11, Q.9",Đà Nẵng,0936235510,3.3,Nhật Bản,₫,"wifi, hidden-gem, gluten-free, tempura, sake, cheap-eats"
R050,Bún Chả Hương Liên,"961 Đường Võ Văn Tần, P.3, Q.5",Hồ Chí Minh,0970522889,3.8,Việt Nam,₫₫₫,"pet-friendly, late-night, affordable, fine-dining, bun-cha, upscale"
R051,Thai Smile 70,"795 Đường Lý Thường Kiệt, P.16, Q.7",Nha Trang,0966407993,4.8,Thái,₫₫₫,"value-for-money, modern, spicy, catering, family-gathering, pad-thai"
R052,Pasta Fresca,"320 Đường Hai Bà Trưng, P.11, Q.8",Đà Nẵng,0990147670,3.8,Âu,₫₫,"vintage, premium, private-rooms, homestyle, desserts"
R053,Turkish Delight,"397 Đường Nguyễn Huệ, P.7, Q.12",Cần Thơ,0917515361,4.3,Địa Trung Hải,₫,"waterfront, premium, business-lunch, fine-dining, falafel, cheap-eats"
R054,Tokyo Kitchen 30,"309 Đường Võ Văn Tần, P.12, Q.11",Đà Lạt,0933312825,3.7,Nhật Bản,₫,"date-night, kids-menu, budget-friendly, gourmet, luxurious, ramen"
R055,Chiang Mai 47,"203 Đường Lý Thường Kiệt, P.3, Q.6",Vũng Tàu,0911560563,3.3,Thái,₫,"family-friendly, pet-friendly, late-night, grilled, fine-dining, pad-thai"
R056,Cơm Tấm Sài Gòn 78,"788 Đường Hai Bà Trưng, P.1, Q.2",Huế,0973311459,3.2,Việt Nam,₫₫,"organic, luxurious, quick-bite, signature-dishes, wifi, bun-cha"
R057,Phở Hà Nội,"468 Đường Nam Kỳ Khởi Nghĩa, P.9, Q.3",Đà Lạt,0963913581,4.0,Việt Nam,₫₫₫,"weekend-special, affordable, minimalist, kids-menu, coffee, pho, upscale"
R058,Ming Dynasty 50,"884 Đường Hai Bà Trưng, P.3, Q.8",Nha Trang,0981796441,4.5,Trung Quốc,₫,"authentic, brunch, must-try, catering, peking-duck, affordable"
R059,Turkish Delight 93,"541 Đường Cách Mạng Tháng 8, P.18, Q.10",Cần Thơ,0918579369,3.9,Địa Trung Hải,₫₫₫,"halal, walk-in, premium, vintage, falafel, fine-dining"
R060,Peking Duck House,"59 Đường Nguyễn Huệ, P.20, Q.2",Đà Nẵng,0970761551,3.6,Trung Quốc,₫,"delivery, minimalist, bbq, kids-menu, award-winning, dumplings"
R061,Siam Garden 50,"782 Đường Cách Mạng Tháng 8, P.13, Q.5",Cần Thơ,0938641263,4.6,Thái,₫,"hidden-gem, halal, business-lunch, mango-sticky-rice, curry, budget-friendly"
R062,Tom Yum Kitchen,"109 Đường Phan Đình Phùng, P.7, Q.2",Huế,0975392200,4.3,Thái,₫₫₫,"street-food, modern, value-for-money, date-night, tom-yum, pad-thai, fine-dining"
R063,Jjigae Story,"455 Đường Lý Thường Kiệt, P.17, Q.12",Hồ Chí Minh,0912047532,3.8,Hàn Quốc,₫₫₫,"parking, authentic, halal, vintage, hotpot, korean-bbq, upscale"
R064,Curry House 38,"333 Đường Lê Lợi, P.14, Q.9",Đà Nẵng,0946465461,3.4,Ấn Độ,₫₫,"vintage, chef-special, budget-friendly, biryani, curry"
R065,Spice Route,"829 Đường Trần Hưng Đạo, P.13, Q.6",Vũng Tàu,0988413776,3.2,Ấn Độ,₫₫₫,"family-gathering, parking, hidden-gem, value-for-money, cozy, biryani, premium"
R066,Chiang Mai 33,"543 Đường Phan Đình Phùng, P.14, Q.11",Đà Lạt,0998824808,4.5,Thái,₫₫₫,"signature-dishes, value-for-money, late-night, fine-dining, vintage, papaya-salad"
R067,Tandoori Palace 93,"970 Đường Nguyễn Huệ, P.4, Q.12",Đà Nẵng,0923655615,4.1,Ấn Độ,₫₫,"bbq, wifi, all-you-can-eat, minimalist, catering, naan, curry"
R068,Hanok Korean,"760 Đường Hai Bà Trưng, P.3, Q.1",Hải Phòng,0967989012,3.2,Hàn Quốc,₫₫,"fusion, quick-bite, private-rooms, bbq, kimchi"
R069,Wine & Dine,"300 Đường Nguyễn Huệ, P.9, Q.10",Đà Nẵng,0984892480,4.0,Âu,₫₫₫,"contemporary, fried, business-lunch, reservation-required, wine, upscale"
R070,Chiang Mai 73,"379 Đường Pasteur, P.17, Q.12",Đà Nẵng,0929753208,3.5,Thái,₫₫,"budget-friendly, bar, instagram-worthy, reservation-required, curry"
R071,European Kitchen,"95 Đường Pasteur, P.7, Q.5",Huế,0996175113,5.0,Âu,₫₫₫,"must-try, fusion, pet-friendly, fried, casual, pasta, pizza, upscale"
R072,Pasta Fresca 49,"664 Đường Hai Bà Trưng, P.1, Q.3",Vũng Tàu,0971019028,3.0,Âu,₫,"fried, garden-view, fine-dining, walk-in, affordable, pasta"
R073,Osaka Izakaya,"149 Đường Trần Hưng Đạo, P.7, Q.6",Huế,0960813541,3.8,Nhật Bản,₫₫₫,"celebration, fusion, instagram-worthy, sake, premium"
R074,Bangkok Street,"733 Đường Cách Mạng Tháng 8, P.5, Q.11",Nha Trang,0912023051,4.7,Thái,₫₫₫,"fine-dining, takeaway, hidden-gem, tom-yum, papaya-salad, upscale"
R075,Bibimbap House,"327 Đường Cách Mạng Tháng 8, P.5, Q.1",Cần Thơ,0923206849,4.4,Hàn Quốc,₫,"authentic, value-for-money, parking, catering, bibimbap, cheap-eats"
R076,Namaste India,"912 Đường Cách Mạng Tháng 8, P.5, Q.4",Cần Thơ,0938555277,3.2,Ấn Độ,₫,"wifi, outdoor-seating, buffet, instagram-worthy, spicy, biryani, budget-friendly"
R077,Pad Thai House,"722 Đường Lê Lợi, P.13, Q.7",Vũng Tàu,0938870773,3.6,Thái,₫,"brunch, live-music, outdoor-seating, mango-sticky-rice, curry, cheap-eats"
R078,Wonton World,"198 Đường Nguyễn Huệ, P.4, Q.9",Vũng Tàu,0992062051,4.9,Trung Quốc,₫₫,"grilled, signature-dishes, buffet, air-conditioned, dumplings, noodles"
R079,Peking Duck House 36,"266 Đường Hai Bà Trưng, P.20, Q.2",Phú Quốc,0945103026,5.0,Trung Quốc,₫₫,"fine-dining, wifi, celebration, budget-friendly, dumplings"
R080,Siam Garden 28,"679 Đường Pasteur, P.16, Q.8",Đà Nẵng,0999700175,4.3,Thái,₫,"air-conditioned, budget-friendly, seafood, chef-special, takeaway, papaya-salad, cheap-eats"
R081,Wine & Dine 73,"599 Đường Trần Hưng Đạo, P.11, Q.4",Hồ Chí Minh,0940829684,3.5,Âu,₫,"chef-special, date-night, vegetarian, parking, cozy, wine, cheap-eats"
R082,Biryani Kingdom,"441 Đường Lý Thường Kiệt, P.14, Q.2",Huế,0931465233,3.6,Ấn Độ,₫₫₫,"premium, live-music, cozy, weekend-special, biryani"
R083,Nhà Hàng Ngọc Sương,"723 Đường Pasteur, P.19, Q.11",Nha Trang,0991388570,4.1,Việt Nam,₫,"affordable, brunch, vegetarian, waterfront, chef-special, banh-mi"
R084,Taj Mahal,"967 Đường Hai Bà Trưng, P.7, Q.3",Vũng Tàu,0992368948,4.2,Ấn Độ,₫,"all-you-can-eat, walk-in, premium, grilled, biryani, budget-friendly"
R085,New York Deli,"559 Đường Nam Kỳ Khởi Nghĩa, P.5, Q.4",Vũng Tàu,0965339150,4.1,Mỹ,₫₫,"air-conditioned, local-favorite, quick-bite, all-you-can-eat, minimalist, milkshakes, steaks"
R086,Spice Route 37,"939 Đường Trần Hưng Đạo, P.6, Q.10",Hồ Chí Minh,0929060258,3.4,Ấn Độ,₫,"rooftop, reservation-required, budget-friendly, masala, biryani, affordable"
R087,Mì Quảng 1A 69,"591 Đường Trần Hưng Đạo, P.20, Q.5",Huế,0954609567,3.1,Việt Nam,₫₫₫,"romantic, vegan, wifi, fine-dining, chef-special, banh-mi, coffee"
R088,Namaste India 72,"526 Đường Hai Bà Trưng, P.19, Q.7",Hà Nội,0986860307,3.8,Ấn Độ,₫₫₫,"budget-friendly, halal, wifi, curry, masala, upscale"
R089,Kimchi House 91,"328 Đường Trần Hưng Đạo, P.1, Q.8",Cần Thơ,0976793226,3.4,Hàn Quốc,₫₫,"halal, minimalist, takeaway, affordable, fusion, hotpot, korean-bbq"
R090,Ming Dynasty 22,"669 Đường Lý Thường Kiệt, P.14, Q.4",Vũng Tàu,0992708147,3.9,Trung Quốc,₫,"value-for-money, garden-view, family-gathering, vegetarian, dumplings, noodles"
R091,Edo Sushi Bar 36,"925 Đường Võ Văn Tần, P.5, Q.2",Vũng Tàu,0937300795,4.5,Nhật Bản,₫₫,"weekend-special, value-for-money, vintage, vegan, sushi, sake"
R092,Dragon Palace,"338 Đường Võ Văn Tần, P.10, Q.5",Cần Thơ,0913558102,3.2,Trung Quốc,₫,"luxurious, wifi, gluten-free, noodles, dumplings, cheap-eats"
R093,Biryani Kingdom 85,"865 Đường Võ Văn Tần, P.9, Q.1",Huế,0931144133,4.7,Ấn Độ,₫,"affordable, catering, must-try, tandoori, masala, cheap-eats"
R094,Cyprus Taverna,"321 Đường Nam Kỳ Khởi Nghĩa, P.7, Q.5",Phú Quốc,0975608303,4.9,Địa Trung Hải,₫₫,"fusion, fried, budget-friendly, olive-oil, falafel"
R095,Tokyo Kitchen 70,"644 Đường Trần Hưng Đạo, P.7, Q.11",Cần Thơ,0963993634,4.4,Nhật Bản,₫₫,"business-lunch, dine-in, buffet, value-for-money, sushi, ramen"
R096,Turkish Delight 87,"979 Đường Nam Kỳ Khởi Nghĩa, P.10, Q.8",Vũng Tàu,0964621145,3.3,Địa Trung Hải,₫₫,"affordable, all-you-can-eat, late-night, local-favorite, olive-oil, hummus"
R097,Wine & Dine 20,"496 Đường Trần Hưng Đạo, P.10, Q.8",Hải Phòng,0993737850,4.1,Âu,₫,"cozy, budget-friendly, kids-menu, business-lunch, wine, steak, cheap-eats"
R098,Smokey Ribs 2,"133 Đường Nguyễn Huệ, P.12, Q.4",Hà Nội,0932357649,3.5,Mỹ,₫₫,"must-try, street-food, premium, burgers, fries"
R099,Hanok Korean 57,"286 Đường Cách Mạng Tháng 8, P.18, Q.11",Hà Nội,0996531616,3.2,Hàn Quốc,₫₫,"budget-friendly, cozy, seafood, soju, korean-bbq"
R100,Chiang Mai 86,"792 Đường Nguyễn Huệ, P.2, Q.10",Nha Trang,0938100364,4.5,Thái,₫,"seafood, signature-dishes, rooftop, curry, budget-friendly"
