menu_id,restaurant_id,dish_name,category,price_vnd,description,tags_x,name,address,city,phone,rating,cuisine,price_range,tags_y
M036,R036,Sườn nướng Hải Sản,Đồ uống,45000,"Món tuyệt hảo, phù hợp cho bữa tối.","popular, spicy",Cafe Lửa 36,"236 Đường Phan Đình Phùng, P.7, Q.9",Hải Phòng,0998779073,3.3,Nhật Bản,₫₫,"halal, fine-dining, delivery"
M037,R018,Pad Thai Truyền Thống,Món chay,250000,"Món tuyệt hảo, phù hợp cho ăn vặt.","popular, spicy",House Vị 18,"236 Đường Hai Bà Trưng, P.4, Q.1",Cần Thơ,0901980765,4.9,Trung Hoa,₫,"vegetarian, seafood, halal"
M038,R019,Sushi Chilli,Món chính,180000,"Món hấp dẫn, phù hợp cho tập thể.","sweet, popular",House Gạo 19,"472 Đường Lê Lợi, P.6, Q.7",Hà Nội,0952401521,3.5,Đồ nướng,₫₫,"vegetarian, halal, seafood"
M039,R036,Salad Truyền Thống,Tráng miệng,250000,"Món đặc sắc, phù hợp cho bữa tối.","chef-special, savoury",Cafe Lửa 36,"236 Đường Phan Đình Phùng, P.7, Q.9",Hải Phòng,0998779073,3.3,Nhật Bản,₫₫,"halal, fine-dining, delivery"
M040,R037,Cơm Truyền Thống,Khai vị,80000,"Món đặc sắc, phù hợp cho tập thể.","chef-special, gluten-free",House Sashimi 37,"125 Đường Trần Hưng Đạo, P.5, Q.1",Hà Nội,0932862209,5.0,Nhật Bản,₫₫,"vegetarian, romantic, spicy"
M041,R025,Pad Thai Bò,Tráng miệng,180000,"Món đậm đà, phù hợp cho bữa tối.","vegan-friendly, popular",Garden Vị 25,"490 Đường Trần Hưng Đạo, P.9, Q.2",Hà Nội,0999645480,4.1,Ý,₫₫,"spicy, romantic, fine-dining"
M042,R022,Bún Chilli,Khai vị,250000,"Món tuyệt hảo, phù hợp cho tập thể.","spicy, chef-special",Quán Gạo 22,"346 Đường Hai Bà Trưng, P.19, Q.9",Đà Nẵng,0934999379,3.4,Ấn Độ,₫,"cheap, vegetarian, family"
M043,R010,Tteokbokki Bò,Khai vị,80000,"Món hấp dẫn, phù hợp cho ăn vặt.","sweet, vegan-friendly",Nhà hàng Vị 10,"359 Đường Hai Bà Trưng, P.9, Q.11",Đà Nẵng,0914972279,3.6,Hàn Quốc,₫₫,"takeaway, cheap, family"
M044,R045,Curry Gà,Món chay,80000,"Món tuyệt hảo, phù hợp cho tập thể.","sweet, chef-special",Bistro Ngon 45,"453 Đường Phan Đình Phùng, P.6, Q.1",Đà Nẵng,0950882459,3.7,Đồ nướng,₫₫,"fine-dining, vegetarian, cheap"
M045,R046,Cá kho Đặc Biệt,Đồ uống,250000,"Món đậm đà, phù hợp cho bữa tối.","chef-special, popular",Bistro Sashimi 46,"437 Đường Lê Lợi, P.16, Q.1",Cần Thơ,0906990811,5.0,Ấn Độ,₫,"delivery, takeaway, halal"
M046,R019,Pizza Gà,Tráng miệng,45000,"Món đậm đà, phù hợp cho bữa trưa.","gluten-free, savoury",House Gạo 19,"472 Đường Lê Lợi, P.6, Q.7",Hà Nội,0952401521,3.5,Đồ nướng,₫₫,"vegetarian, halal, seafood"
M047,R045,Ramen Đặc Biệt,Khai vị,60000,"Món đặc sắc, phù hợp cho bữa trưa.","sweet, popular",Bistro Ngon 45,"453 Đường Phan Đình Phùng, P.6, Q.1",Đà Nẵng,0950882459,3.7,Đồ nướng,₫₫,"fine-dining, vegetarian, cheap"
M048,R024,Mì Hải Sản,Đồ uống,80000,"Món hấp dẫn, phù hợp cho bữa tối.","savoury, popular",Bếp Mỳ 24,"461 Đường Lê Lợi, P.8, Q.6",Đà Nẵng,0921172421,3.9,Ăn vặt,₫₫₫,"cheap, halal, takeaway"
M049,R006,Tteokbokki Truyền Thống,Đồ uống,120000,"Món thơm ngon, phù hợp cho tập thể.","vegan-friendly, savoury",Cafe Sườn 6,"353 Đường Nguyễn Huệ, P.3, Q.10",Hồ Chí Minh,0971691040,4.5,Hàn Quốc,₫₫,"vegetarian, cheap, romantic"
M050,R015,Curry Chiên,Tráng miệng,80000,"Món đặc sắc, phù hợp cho bữa trưa.","popular, gluten-free",Nhà hàng Vị 15,"372 Đường Lê Lợi, P.8, Q.2",Hà Nội,0944349361,3.1,Trung Hoa,₫₫,"seafood, romantic, family"
