restaurant_id,name,address,city,phone,rating,cuisine,price_range,tags
R014,Cafe Lửa 14,"470 Đường Hai Bà Trưng, P.15, Q.2",Hồ Chí Minh,0930158366,3.1,Việt Nam,₫₫₫,"halal, romantic, spicy"
R015,Nhà hàng Vị 15,"372 Đường Lê Lợi, P.8, Q.2",Hà Nội,0944349361,3.1,Trung Hoa,₫₫,"seafood, romantic, family"
R016,Pavilion Sườn 16,"411 Đường Phan Đình Phùng, P.14, Q.4",Hà Nội,0913009833,4.3,Ấn Độ,₫₫,"vegetarian, seafood, takeaway"
R017,Quán Hoa 17,"216 Đường Nguyễn Huệ, P.4, Q.4",Hồ Chí Minh,0925529407,4.1,Hàn Quốc,₫₫,"family, cheap, seafood"
R018,House Vị 18,"236 Đường Hai Bà Trưng, P.4, Q.1",Cần Thơ,0901980765,4.9,Trung Hoa,₫,"vegetarian, seafood, halal"
R019,House Gạo 19,"472 Đường Lê Lợi, P.6, Q.7",Hà Nội,0952401521,3.5,Đồ nướng,₫₫,"vegetarian, halal, seafood"
R020,Bếp Sườn 20,"161 Đường Trần Hưng Đạo, P.2, Q.10",Cần Thơ,0908181586,4.5,Việt Nam,₫,"spicy, seafood, family"
R021,Nhà hàng Biển 21,"51 Đường Trần Hưng Đạo, P.3, Q.10",Hà Nội,0990625494,4.7,Địa Trung Hải,₫,"spicy, romantic, takeaway"
R022,Quán Gạo 22,"346 Đường Hai Bà Trưng, P.19, Q.9",Đà Nẵng,0934999379,3.4,Ấn Độ,₫,"cheap, vegetarian, family"
R023,Garden Lửa 23,"171 Đường Lê Lợi, P.1, Q.8",Cần Thơ,0975563727,5.0,Nhật Bản,₫₫₫,"romantic, halal, cheap"
R024,Bếp Mỳ 24,"461 Đường Lê Lợi, P.8, Q.6",Đà Nẵng,0921172421,3.9,Ăn vặt,₫₫₫,"cheap, halal, takeaway"
R025,Garden Vị 25,"490 Đường Trần Hưng Đạo, P.9, Q.2",Hà Nội,0999645480,4.1,Ý,₫₫,"spicy, romantic, fine-dining"
R026,House Sashimi 26,"268 Đường Phan Đình Phùng, P.9, Q.1",Hà Nội,0985132217,3.8,Ý,₫,"takeaway, fine-dining, family"
R027,Garden Ngon 27,"389 Đường Phan Đình Phùng, P.18, Q.12",Hải Phòng,0975283645,3.0,Nhật Bản,₫₫₫,"family, halal, takeaway"
R028,Cafe Sông 28,"292 Đường Trần Hưng Đạo, P.14, Q.3",Hà Nội,0941373735,3.7,Việt Nam,₫₫,"romantic, spicy, delivery"
R029,Cafe Biển 29,"462 Đường Phan Đình Phùng, P.20, Q.12",Hồ Chí Minh,0931774346,4.7,Hàn Quốc,₫₫,"takeaway, family, fine-dining"
R030,Bistro Sườn 30,"146 Đường Trần Hưng Đạo, P.4, Q.7",Hà Nội,0963174945,3.4,Đồ nướng,₫₫,"cheap, romantic, halal"
R031,Nhà hàng Sườn 31,"214 Đường Nguyễn Huệ, P.9, Q.2",Đà Nẵng,0947130035,4.3,Địa Trung Hải,₫₫₫,"halal, fine-dining, takeaway"
R032,Quán Sashimi 32,"101 Đường Hai Bà Trưng, P.9, Q.1",Hà Nội,0980070438,3.9,Ấn Độ,₫₫,"spicy, halal, delivery"
R033,Bistro Sông 33,"107 Đường Nguyễn Huệ, P.2, Q.12",Hải Phòng,0900226999,4.0,Ăn vặt,₫₫₫,"romantic, fine-dining, vegetarian"
R034,Quán Mỳ 34,"329 Đường Nguyễn Huệ, P.4, Q.12",Đà Nẵng,0968064830,3.6,Địa Trung Hải,₫₫,"vegetarian, cheap, family"
R035,House Gạo 35,"350 Đường Phan Đình Phùng, P.6, Q.10",Cần Thơ,0940392808,3.8,Việt Nam,₫₫,"cheap, romantic, vegetarian"
R036,Cafe Lửa 36,"236 Đường Phan Đình Phùng, P.7, Q.9",Hải Phòng,0998779073,3.3,Nhật Bản,₫₫,"halal, fine-dining, delivery"
R037,House Sashimi 37,"125 Đường Trần Hưng Đạo, P.5, Q.1",Hà Nội,0932862209,5.0,Nhật Bản,₫₫,"vegetarian, romantic, spicy"
R038,Pavilion Gạo 38,"134 Đường Trần Hưng Đạo, P.1, Q.2",Hải Phòng,0929372360,3.4,Ăn vặt,₫₫,"takeaway, halal, romantic"
R039,Quán Lửa 39,"78 Đường Phan Đình Phùng, P.17, Q.9",Cần Thơ,0942587010,4.9,Đồ nướng,₫₫₫,"halal, vegetarian, seafood"
R040,Bếp Lửa 40,"240 Đường Nguyễn Huệ, P.8, Q.11",Đà Nẵng,0969967676,4.0,Trung Hoa,₫₫,"seafood, delivery, cheap"
R041,House Sashimi 41,"181 Đường Nguyễn Huệ, P.18, Q.2",Hồ Chí Minh,0920244148,3.5,Hàn Quốc,₫₫₫,"romantic, delivery, vegetarian"
R042,Bistro Mỳ 42,"287 Đường Phan Đình Phùng, P.14, Q.1",Hồ Chí Minh,0956390708,3.8,Việt Nam,₫₫₫,"vegetarian, seafood, takeaway"
R043,Cafe Sashimi 43,"395 Đường Phan Đình Phùng, P.14, Q.9",Cần Thơ,0980967191,4.8,Đồ nướng,₫,"cheap, vegetarian, seafood"
R044,Nhà hàng Gạo 44,"182 Đường Phan Đình Phùng, P.6, Q.8",Hồ Chí Minh,0983517915,4.1,Địa Trung Hải,₫₫₫,"spicy, takeaway, delivery"
R045,Bistro Ngon 45,"453 Đường Phan Đình Phùng, P.6, Q.1",Đà Nẵng,0950882459,3.7,Đồ nướng,₫₫,"fine-dining, vegetarian, cheap"
R046,Bistro Sashimi 46,"437 Đường Lê Lợi, P.16, Q.1",Cần Thơ,0906990811,5.0,Ấn Độ,₫,"delivery, takeaway, halal"
R047,House Sườn 47,"439 Đường Lê Lợi, P.20, Q.3",Hồ Chí Minh,0916941092,3.9,Nhật Bản,₫₫₫,"romantic, seafood, cheap"
R048,Cafe Ngon 48,"320 Đường Hai Bà Trưng, P.4, Q.3",Đà Nẵng,0914508768,4.2,Ý,₫₫₫,"vegetarian, spicy, romantic"
R049,Quán Sông 49,"363 Đường Trần Hưng Đạo, P.4, Q.12",Đà Nẵng,0991839693,4.2,Nhật Bản,₫₫₫,"takeaway, fine-dining, vegetarian"
R050,Cafe Vị 50,"269 Đường Nguyễn Huệ, P.1, Q.7",Hải Phòng,0914165187,3.9,Ấn Độ,₫₫₫,"seafood, family, vegetarian"
